Fantasy Team,Gender Match,Last Name,First Name,Fantasy Points,Goals,Assists,Throwing Yards,Receiving Yards,Blocks,Turns
Combo-Owner-Draft,GM,Last,First,SUM of FantasyPts,SUM of Goals,SUM of Assists,SUM of ThrowYds,SUM of RecYds,SUM of Block,SUM of Turn
AK AK-5-10,F,Cartagena,Yina,12.0,1,3,218,219,0,1
,F,Finney,Carolyn,21.5,2,3,253,241,1,0
,F,Kurahashi,Mika,6.9,0,1,95,99,1,1
,F,Mueller,Ava,10.6,3,1,169,25,1,1
,F,Thompson,Anna,23.9,2,5,225,254,2,1
,M,Edmonds,Thomas,26.5,4,3,451,238,1,1
,M,Freechild,Dylan,19.3,1,5,475,-3,2,3
,M,Gallant,Marty,13.0,3,1,154,217,0,0
,M,Ing,Henry,15.0,4,3,110,386,0,1
,M,Kocher,Chris,19.5,1,3,316,94,1,0
Anaximander SOAP-5-10,F,Forget,Zoë,5.6,2,0,45,111,0,0
,F,Kashino,Yuko,19.5,2,6,239,213,0,0
,F,Prien,Nici,7.6,2,2,27,239,1,2
,F,Wiya,Kya,6.2,4,2,41,250,0,2
,F,Woloson,Verena,-1.9,0,0,-11,69,0,1
,M,Ancelin,Gaël,-7.4,1,0,232,-21,0,5
,M,Dieckmann,Jakob,11.0,6,2,156,367,0,3
,M,Edmonds,Thomas,26.5,4,3,451,238,1,1
,M,Freechild,Dylan,19.3,1,5,475,-3,2,3
,M,Gan,Alex,-8.9,1,0,293,111,0,7
Anthony GINET-4-12,F,Cárdenas,Valeria,5.7,3,0,213,258,0,3
,F,Chastain,Claire,0.5,0,1,89,90,1,3
,F,Culton,Dawn,9.2,3,1,73,151,0,0
,F,Kurahashi,Mika,6.9,0,1,95,99,1,1
,F,Phillips,Cat,21.9,1,4,240,379,2,2
,M,Bonnet,Elliot,18.4,5,2,151,439,1,2
,M,Gallant,Marty,13.0,3,1,154,217,0,0
,M,Ing,Michael,30.8,5,3,256,202,5,3
,M,Kocher,Chris,19.5,1,3,316,94,1,0
,M,Mao,Quan,9.5,0,6,498,69,2,7
,M,Matsuno,Masahiro,1.2,0,2,311,89,0,4
,M,Snider,Quinn,16.2,5,1,52,331,2,2
Basket SOAP-5-10,F,Cárdenas,Manuela,8.4,1,2,222,87,0,1
,F,Jacobsohn,Sarah,-3.1,0,3,86,163,0,4
,F,Phillips,Cat,21.9,1,4,240,379,2,2
,F,Santos,Maria Paula,6.8,2,1,56,107,0,0
,F,Vallet,Chloé,0.8,0,2,77,125,0,2
,M,Cantor,Jonathan,1.2,0,1,26,-29,0,0
,M,Hayes,Raphy,12.9,4,3,129,450,2,5
,M,Mao,Quan,9.5,0,6,498,69,2,7
,M,Müller,Nico,24.2,1,7,565,106,0,1
,M,Okajima,Sho,3.9,3,4,162,198,0,4
Ben GINET-4-12,F,Cárdenas,Manuela,8.4,1,2,222,87,0,1
,F,Gao,Xiaoyun,-4.6,2,0,31,227,0,4
,F,Groom,Kami,9.9,3,2,22,210,0,0
,F,Kashino,Yuko,19.5,2,6,239,213,0,0
